triprequest_origin_location_lon,triprequest_origin_location_lat,triprequest_destination_location_lon,triprequest_destination_location_lat,triprequest_requesttime
-96.78013678,43.54394065,-96.71164389,43.58758553,68
-96.73156909,43.56403357,-96.73124137,43.51485818,169
-96.71138171,43.56232379,-96.73156909,43.56403357,198
-96.71164389,43.58758553,-96.71138171,43.56232379,209
-96.71138171,43.56232379,-96.74716843,43.56365362,212
-96.73150355,43.52940117,-96.71138171,43.54128009,263
-96.73124137,43.51485818,-96.73143801,43.54527088,320
-96.71138171,43.54674361,-96.71138171,43.56232379,333
-96.77041974,43.61282792,-96.73150355,43.52940117,391
-96.71138171,43.56232379,-96.73150355,43.52940117,393
-96.77430341,43.5729616,-96.71138171,43.54128009,460
-96.74920028,43.50316422,-96.75090441,43.51485818,474
-96.74716843,43.56365362,-96.74920028,43.50316422,488
-96.71138171,43.56232379,-96.74684071,43.54413068,511
-96.69342281,43.5638436,-96.73124137,43.51485818,548
-96.73156909,43.56403357,-96.71131617,43.52959125,572
-96.75103549,43.52930613,-96.79337655,43.49070718,585
-96.73156909,43.56403357,-96.73150355,43.52940117,586
-96.74716843,43.56365362,-96.71138171,43.56232379,600
-96.69407825,43.54674361,-96.73156909,43.56403357,637
-96.77041974,43.61282792,-96.78013678,43.54394065,671
-96.73156909,43.56403357,-96.71138171,43.54674361,672
-96.73124137,43.51485818,-96.73156909,43.56403357,706
-96.75103549,43.52930613,-96.71118508,43.5153335,715
-96.77430341,43.5729616,-96.71118508,43.5153335,752
-96.77430341,43.5729616,-96.71138171,43.56232379,755
-96.74684071,43.54413068,-96.73143801,43.54527088,870
-96.71138171,43.54674361,-96.77041974,43.61282792,886
-96.75090441,43.51485818,-96.71125063,43.60581298,985
-96.71164389,43.58758553,-96.7309792,43.51048509,990
-96.73143801,43.54527088,-96.7309792,43.51048509,1037
-96.7309792,43.51048509,-96.71138171,43.54128009,1099
-96.79337655,43.49070718,-96.71138171,43.56232379,1111
-96.73124137,43.54859634,-96.73156909,43.56403357,1132
-96.69342281,43.5638436,-96.71138171,43.54128009,1146
-96.69407825,43.54674361,-96.74920028,43.50316422,1255
-96.75103549,43.52930613,-96.73150355,43.52940117,1270
-96.75090441,43.51485818,-96.73124137,43.51485818,1322
-96.75090441,43.51485818,-96.74716843,43.56365362,1328
-96.73124137,43.54859634,-96.73124137,43.51485818,1331
-96.73156909,43.56403357,-96.79337655,43.49070718,1352
-96.74716843,43.56365362,-96.73124137,43.51485818,1383
-96.71138171,43.56232379,-96.69407825,43.54674361,1389
-96.75103549,43.52930613,-96.71118508,43.5153335,1408
-96.74684071,43.54413068,-96.69342281,43.5638436,1416
-96.75090441,43.51485818,-96.73156909,43.56403357,1428
-96.73150355,43.52940117,-96.69342281,43.5638436,1496
-96.71138171,43.54674361,-96.73150355,43.52940117,1501
-96.79337655,43.49070718,-96.73156909,43.56403357,1530
-96.7309792,43.51048509,-96.78013678,43.54394065,1540
-96.69342281,43.5638436,-96.74716843,43.56365362,1583
-96.73150355,43.52940117,-96.71164389,43.58758553,1603
-96.69342281,43.5638436,-96.74684071,43.54413068,1608
-96.71138171,43.54674361,-96.77430341,43.5729616,1634
-96.73124137,43.51485818,-96.77041974,43.61282792,1651
-96.71138171,43.56232379,-96.74920028,43.50316422,1674
-96.75090441,43.51485818,-96.78013678,43.54394065,1676
-96.69342281,43.5638436,-96.71131617,43.52959125,1719
-96.74920028,43.50316422,-96.77430341,43.5729616,1721
